scenario_id,original_events,transformed_events,equivariant
case-3790,7,8,1
case-3791,7,8,1
case-3792,7,8,1
case-3793,7,8,1
case-3794,7,8,1
case-3795,7,8,1
case-3796,7,8,1
case-3797,7,8,1
case-3798,7,8,1
case-3799,7,8,1
case-3800,7,8,1
case-3801,7,8,1
case-3802,7,8,1
case-3803,7,8,1
case-3804,7,8,1
case-3805,7,8,1
case-3806,7,8,1
case-3807,7,8,1
case-3808,7,8,1
case-3809,7,8,1
case-3810,7,8,1
case-3811,7,8,1
case-3812,7,8,1
case-3813,7,8,1
case-3814,7,8,1
case-3815,7,8,1
case-3816,7,8,1
case-3817,7,8,1
case-3818,7,8,1
case-3819,7,8,1
case-3820,7,8,1
case-3821,7,8,1
case-3822,7,8,1
case-3823,7,8,1
case-3824,7,8,1
case-3825,7,8,1
case-3826,7,8,1
case-3827,7,8,1
case-3828,7,8,1
case-3829,7,8,1
case-3830,7,8,1
case-3831,7,8,1
case-3832,7,8,1
case-3833,7,8,1
case-3834,7,8,1
case-3835,7,8,1
case-3836,7,8,1
case-3837,7,8,1
case-3838,7,8,1
case-3839,7,8,1
case-3840,7,8,1
case-3841,7,8,1
case-3842,7,8,1
case-3843,7,8,1
case-3844,7,8,1
case-3845,7,8,1
case-3846,7,8,1
case-3847,7,8,1
case-3848,7,8,1
case-3849,7,8,1
case-3850,7,8,1
case-3851,7,8,1
case-3852,7,8,1
case-3853,7,8,1
case-3854,7,8,1
case-3855,7,8,1
case-3856,7,8,1
case-3857,7,8,1
case-3858,7,8,1
case-3859,7,8,1
case-3860,7,8,1
case-3861,7,8,1
case-3862,7,8,1
case-3863,7,8,1
case-3864,7,8,1
case-3865,7,8,1
case-3866,7,8,1
case-3867,7,8,1
case-3868,7,8,1
case-3869,7,8,1
case-3870,7,8,1
case-3871,7,8,1
case-3872,7,8,1
case-3873,7,8,1
case-3874,7,8,1
case-3875,7,8,1
case-3876,7,8,1
case-3877,7,8,1
case-3878,7,8,1
case-3879,7,8,1
case-3880,7,8,1
case-3881,7,8,1
case-3882,7,8,1
case-3883,7,8,1
case-3884,7,8,1
case-3885,7,8,1
case-3886,7,8,1
case-3887,7,8,1
case-3888,7,8,1
case-3889,7,8,1
case-3890,7,8,1
case-3891,7,8,1
case-3892,7,8,1
case-3893,7,8,1
case-3894,7,8,1
case-3895,7,8,1
case-3896,7,8,1
case-3897,7,8,1
case-3898,7,8,1
case-3899,7,8,1
case-3900,7,8,1
case-3901,7,8,1
case-3902,7,8,1
case-3903,7,8,1
case-3904,7,8,1
case-3905,7,8,1
case-3906,7,8,1
case-3907,7,8,1
case-3908,7,8,1
case-3909,7,8,1
case-3910,7,8,1
case-3911,7,8,1
case-3912,7,8,1
case-3913,7,8,1
case-3914,7,8,1
case-3915,7,8,1
case-3916,7,8,1
case-3917,7,8,1
case-3918,7,8,1
case-3919,7,8,1
case-3920,7,8,1
case-3921,7,8,1
case-3922,7,8,1
case-3923,7,8,1
case-3924,7,8,1
case-3925,7,8,1
case-3926,7,8,1
case-3927,7,8,1
case-3928,7,8,1
case-3929,7,8,1
case-3930,7,8,1
case-3931,7,8,1
case-3932,7,8,1
case-3933,7,8,1
case-3934,7,8,1
case-3935,7,8,1
case-3936,7,8,1
case-3937,7,8,1
case-3938,7,8,1
case-3939,7,8,1
case-3940,7,8,1
case-3941,7,8,1
case-3942,7,8,1
case-3943,7,8,1
case-3944,7,8,1
case-3945,7,8,1
case-3946,7,8,1
case-3947,7,8,1
case-3948,7,8,1
case-3949,7,8,1
case-3950,7,8,1
case-3951,7,8,1
case-3952,7,8,1
case-3953,7,8,1
case-3954,7,8,1
case-3955,7,8,1
case-3956,7,8,1
case-3957,7,8,1
case-3958,7,8,1
case-3959,7,8,1
case-3960,7,8,1
case-3961,7,8,1
case-3962,7,8,1
case-3963,7,8,1
case-3964,7,8,1
case-3965,7,8,1
case-3966,7,8,1
case-3967,7,8,1
case-3968,7,8,1
case-3969,7,8,1
case-3970,7,8,1
case-3971,7,8,1
case-3972,7,8,1
case-3973,7,8,1
case-3974,7,8,1
case-3975,7,8,1
case-3976,7,8,1
case-3977,7,8,1
case-3978,7,8,1
case-3979,7,8,1
case-3980,7,8,1
case-3981,7,8,1
case-3982,7,8,1
case-3983,7,8,1
case-3984,7,8,1
case-3985,7,8,1
case-3986,7,8,1
case-3987,7,8,1
case-3988,7,8,1
case-3989,7,8,1
case-3990,7,8,1
case-3991,7,8,1
case-3992,7,8,1
case-3993,7,8,1
case-3994,7,8,1
case-3995,7,8,1
case-3996,7,8,1
case-3997,7,8,1
case-3998,7,8,1
case-3999,7,8,1
case-4000,7,8,1
